date,temp_c,temp_f,humidity,heat
20190701,24,75.1,63.8,23.97
20190702,24.3,75.7,63.2,24.29
20190703,24.2,75.5,65.3,24.18
20190704,25.4,77.6,58.6,25.35
20190705,27.3,81.1,45.5,27.41
20190706,29.9,85.8,39.7,29.5
20190707,26.9,80.3,43.5,26.94
20190708,25.1,77.2,45.3,25.13
20190709,25.1,77.2,46.3,25.11
20190710,22.8,73,61,22.79
20190711,21.8,71.2,79,21.79
20190712,23.5,74.2,66.7,23.47
20190713,24.9,76.8,67.4,24.87
20190714,25.8,78.4,65.2,25.76
20190715,23.9,75,77.9,23.87
20190716,24.4,75.8,80.8,24.36
20190717,25.5,78,74.5,25.54
20190718,27,80.7,64.9,28.51
20190719,28.4,83.1,61.2,30.17
20190720,28.3,83,63.1,30.31
20190721,25.3,77.5,87.1,25.26
20190722,26.7,80,74.7,28.66
20190723,27.9,82.2,71.5,30.67
20190724,26.4,79.6,82.3,26.44
20190725,26.4,79.4,90.5,26.35
20190726,25.1,77.1,94.9,25.06
20190727,28.1,82.6,78.6,32.13
20190728,26.3,79.4,87.1,26.31
20190729,27.4,81.4,75,30.13
20190730,28,82.5,75.3,31.49
20190731,25.9,78.6,91.3,25.87
20190801,26.4,79.5,85.8,26.41
20190802,28.4,83.1,74.8,32.16
20190803,29.4,84.9,70.6,33.76
20190804,28.5,83.2,73.4,32.13
20190805,30.3,86.6,67.3,35.11
20190806,31.7,89.1,52,34.33
20190807,27,80.6,76.1,29.35
20190808,28.8,83.9,72,32.7
20190809,29.8,85.7,68.5,34.24
20190810,31.4,88.5,59.4,35.56
20190811,30.7,87.3,51.3,32.39
20190812,26.5,79.8,91,26.53
20190813,29.2,84.5,76.3,34.43
20190814,30.3,86.5,66.2,34.78
20190815,26.3,79.4,79.2,26.31
20190816,25.8,78.5,76.8,25.81
20190817,26,78.8,70,26.03
20190818,25.6,78.1,65.1,25.63
20190819,26.1,79.1,62,26.15
20190820,28,82.3,56.6,29.02
20190821,27.2,80.9,64.7,28.67
20190822,26.8,80.2,67.5,28.28
20190823,26.4,79.4,58.6,26.35
20190824,24,75.1,60.4,23.96
20190825,24.7,76.5,67.3,24.7
20190826,26.3,79.3,63.9,26.28
20190827,25.7,78.3,70.8,25.73
20190828,26,78.8,66.6,26
20190829,23.6,74.5,77.6,23.59
20190830,22.6,72.7,65.3,22.62
20190831,23.4,74.1,64.5,23.4
